262814694 1726/A https://codeforces.com/contest/1726/submission/262814694
261148399 1904/A https://codeforces.com/contest/1904/submission/261148399
261096162 1766/A https://codeforces.com/contest/1766/submission/261096162
261015573 1831/A https://codeforces.com/contest/1831/submission/261015573
261041764 1806/A https://codeforces.com/contest/1806/submission/261041764
257820029 1666/D https://codeforces.com/contest/1666/submission/257820029
257214931 1814/A https://codeforces.com/contest/1814/submission/257214931
257068831 1777/A https://codeforces.com/contest/1777/submission/257068831
261083134 1789/A https://codeforces.com/contest/1789/submission/261083134
253619058 1374/B https://codeforces.com/contest/1374/submission/253619058
262817464 1845/A https://codeforces.com/contest/1845/submission/262817464
